dataset_name,idx,words,words_rationale,LIME,Partition SHAP,Integrated Gradient
sst2,506,crackerjack,1,-0.010466009519812185,0.07482255517425074,0.6375682643478064
sst2,506,entertainment,0,0.008700007352682245,-0.01234094477194958,0.0004832023952378861
sst2,506,--,0,0.0055308434204322,-0.036650913632229276,0.24260601969844503
sst2,506,nonstop,1,0.005351467198984838,-0.07454770398703658,0.5945407488587782
sst2,506,romance,1,0.008297231775650147,-0.2610856623091422,0.6718712459726794
sst2,506,",",0,-0.0035008013468804896,0.023039543802951812,0.16598152973303237
sst2,506,music,0,0.009239262948455092,-0.04313444097897445,0.34241112629380993
sst2,506,",",0,-0.0035008013468804896,0.0056536339779995615,0.3368474822090528
sst2,506,suspense,0,0.010465332041229816,-0.154117606739419,0.6222168424155663
sst2,506,and,0,0.0027167045690978508,-0.08417461892076972,0.31302662853808993
sst2,506,action,0,0.00932785150177876,-0.020972795352463436,0.3958984931724241
sst2,506,.,0,-0.00039516801310122203,0.01608820118690346,0.3297195559630625
sst2,742,it,0,0.059783293981548816,0.0017957363126184552,-0.14013749412061885
sst2,742,'s,0,0.003350384499445801,0.0035914726252369105,-0.06360075680961336
sst2,742,a,0,-0.007642964743234351,0.008023653350522717,-0.06824905273261991
sst2,742,demented,0,-0.05787129897989825,0.03637674205700676,-0.14348867615776567
sst2,742,kitsch,0,0.018941001292841975,0.03742320000579079,-0.18170541496142523
sst2,742,mess,0,-0.17988211374548416,0.04415548827226023,-0.22154598455692812
sst2,742,(,0,0.023996572239975582,0.0029870198267207553,0.15628731257603456
sst2,742,although,0,0.021829145203541452,0.005299132426332037,0.08850535316273583
sst2,742,the,0,-0.011493549813800253,0.00402106914396147,0.07700984070595664
sst2,742,smeary,0,-0.018451548568127425,0.041316368757935165,0.0011448012166444393
sst2,742,digital,0,-0.005314405447864464,0.007024974453946552,-0.046845620098349444
sst2,742,video,0,-0.024679675795980682,0.007208591218790016,-0.03920119405225387
sst2,742,does,0,0.017911981709425612,0.0043935963333368595,0.0028362722322548876
sst2,742,match,0,0.028596830032980514,0.0049041771710634525,0.02018111181106491
sst2,742,the,0,-0.011493549813800253,0.0016512113072693641,0.04681559564381076
sst2,742,muddled,0,0.005524671384508931,0.048257060145729835,-0.010340392946675353
sst2,742,narrative,0,0.019710118496770217,0.0009961457838088567,0.08765278743352856
sst2,742,),0,0.09516440312189887,0.0009961457838088567,0.11691346717347759
sst2,742,",",0,0.05034889118474925,0.004153064374874633,0.1904371258712254
sst2,742,but,1,0.32848643816719314,-0.23095424584471402,0.665846542307013
sst2,742,it,0,0.059783293981548816,0.0006448778162848612,0.08037316484999082
sst2,742,'s,0,0.003350384499445801,0.0012897556325697224,0.34715842507335526
sst2,742,savvy,1,0.18730162094282846,-0.33123484917705354,0.7875088335155984
sst2,742,about,0,-0.05645554434054175,-0.009617899307704647,0.07669373661737726
sst2,742,celebrity,0,0.004398911620198241,-0.03776058484399982,0.22789083728406417
sst2,742,and,0,0.08478691448749329,-0.005227048013330205,0.12134336538638951
sst2,742,has,0,0.03612940096547871,-0.00032658268197944065,0.3280775128443033
sst2,742,more,1,-0.03757467737723629,-0.00032658268197944065,-0.5382558566671778
sst2,742,guts,1,-0.05124965075582463,0.0009843360310090553,-0.270986923048562
sst2,742,and,0,0.08478691448749329,0.0018691904209845235,0.8269994219140635
sst2,742,energy,1,0.12865086800987335,-0.03871287503206986,0.5610424052282553
sst2,742,than,0,-0.05931008450621581,-0.001576243014278589,0.5275119137769143
sst2,742,much,0,0.03156593266006896,-0.0013722540337766987,-0.0034877435587138475
sst2,742,of,0,-0.0027689138641440476,-0.01153063080200809,0.28417295479714705
sst2,742,what,0,-0.02793400028739655,-0.0046226608457800465,0.37704701646101224
sst2,742,will,0,0.06393845894164275,-0.010719348537531915,0.05152281125920819
sst2,742,open,0,0.06476111039486679,-0.021281103258418928,0.15023635822483028
sst2,742,this,0,0.03367135695836064,-0.01319978910444964,0.17996925512460107
sst2,742,year,0,0.022244641679850956,-0.019137771484141315,0.19799250448946182
sst2,742,.,0,0.04061630415983387,-0.0011091805521573407,0.14793376011616183
sst2,170,it,0,0.0006498730789209666,0.011619085911661386,-0.08187947306608218
sst2,170,'s,0,0.002636241117521566,0.084748066496104,0.5162370281965443
sst2,170,also,0,0.002556582504888368,0.04735083878040314,0.18543728711466897
sst2,170,",",0,-0.0029596535449901715,0.18620466440916061,-0.23420473775513959
sst2,170,clearly,1,0.004702684359686424,0.07861821539700031,0.9044849432035078
sst2,170,",",0,-0.0029596535449901715,0.08644992299377918,0.17766375227240633
sst2,170,great,1,0.004925852327015254,0.10656730830669403,1.6351732280405087
sst2,170,fun,1,0.005153960750282835,0.10830032825469971,1.4861946137507778
sst2,170,.,0,0.0009754104241454961,-0.012922760099172592,0.26684975679647016
sst2,602,instead,0,-0.22091925182324568,-0.11476198211312294,0.6747165988223942
sst2,602,",",0,0.03490968621636343,-0.015104705467820168,-0.11644768784424427
sst2,602,he,0,-0.02831124127513288,-0.06500608217902482,0.0687958427374234
sst2,602,shows,1,0.011101416483639194,0.011567156063392758,-0.06736602619634546
sst2,602,them,0,0.03372937951584096,0.07568965735845268,0.18529344171857062
sst2,602,the,0,-0.055686484788238365,0.07792789419181645,0.6852251250853671
sst2,602,respect,1,0.41416582264502955,0.5473318787990138,2.761941854350932
sst2,602,they,0,0.004361607773252879,0.03942730987910181,0.23284449737090612
sst2,602,are,0,0.027043832766663577,0.06973663775715977,0.0270966293159262
sst2,602,due,1,0.043126093713501276,0.06038417655508965,0.3670920765668617
sst2,602,.,0,0.01858396825832219,-0.021419106051325798,0.25243028166091575
sst2,287,it,0,-0.00014286445146200486,0.004728111202248197,-0.07153163869250334
sst2,287,'s,0,-0.0010179394224328188,0.011875283897624931,0.2565964798395543
sst2,287,a,0,0.002789454255693562,0.03778328459062006,0.42590690593847697
sst2,287,much,1,0.00747275553075495,-0.001721246249001959,0.13677088043539834
sst2,287,more,1,0.0004828388406179189,-0.012007282196503618,-0.099870230723386
sst2,287,emotional,1,0.007678348520673322,0.02269075244017269,0.23489366851887805
sst2,287,journey,0,0.01321210142304037,0.03306214984479374,0.2763327673573486
sst2,287,than,0,0.012849200841558186,-0.0020303008335548034,0.0444001181994068
sst2,287,what,0,0.0027426159429153932,0.005073848720369995,0.08936766579911806
sst2,287,shyamalan,0,0.006377109000429886,0.04307412145578343,0.23305379764279985
sst2,287,has,0,-0.0002709043241267114,0.06931190764090576,-0.0791249565629662
sst2,287,given,0,0.0006303268956758521,0.0112303478040413,0.08026611782174507
sst2,287,us,0,0.0068276561096497065,-0.0020820422700925725,0.05743572536511035
sst2,287,in,0,0.010289839857120028,0.0005068742998556239,0.12225122067489069
sst2,287,his,0,0.0060789242867475436,0.0176078282625095,0.12629059069716653
sst2,287,past,0,-0.018361747686777254,-0.03589843526923498,0.06061098642339953
sst2,287,two,0,6.109875019895613e-06,0.0013717307106272322,0.04567016344032708
sst2,287,movies,0,0.011506485373719458,0.0287059318602697,0.11372247604009202
sst2,287,",",0,0.000424254585284395,-0.0005825402818008321,0.033162440013207076
sst2,287,and,0,0.0020533356129020628,0.004396832196248902,0.04035282343167647
sst2,287,gibson,0,-0.0016613462941124735,-0.016155843974815474,0.06661982016850142
sst2,287,",",0,0.000424254585284395,0.0053634276820553675,0.06384934341288151
sst2,287,stepping,0,0.001553212793285443,0.013577700706405772,-0.09609177344086818
sst2,287,in,0,0.010289839857120028,0.017127329597456588,-0.06177746969385092
sst2,287,for,0,-0.0009703918170248672,0.013122648114545478,-0.0013365342102886427
sst2,287,bruce,0,0.00042507661491352205,0.020122188257260455,0.16180494235625154
sst2,287,willis,0,0.0036989376971286268,0.014754199071062936,0.14742066620086708
sst2,287,",",0,0.000424254585284395,0.010969207270277871,-0.01849206186924105
sst2,287,is,0,-0.001431469244350076,0.0023569775745272636,0.5760622188486251
sst2,287,the,0,-0.0015613183168871293,0.011996358074247837,0.06219788516386649
sst2,287,perfect,1,0.01290528307899552,0.04240596890449524,0.5727561701550328
sst2,287,actor,0,-0.0033585780635622536,0.024328882247209548,0.3535765886414527
sst2,287,to,0,0.00016558710680746584,0.011694019766790527,0.23639486325648423
sst2,287,take,0,-0.00020255465409359024,0.015343190277261394,0.13480213879425762
sst2,287,us,0,0.0068276561096497065,0.01260074611221041,0.1438729404753218
sst2,287,on,0,0.0008674224495633503,0.012748454803867,0.10849966225266744
sst2,287,the,0,-0.0015613183168871293,0.006665078408661343,0.13760300602289993
sst2,287,trip,0,-0.00131539563042489,0.007137170478346802,0.07058761321266237
sst2,287,.,0,0.00045382946521601924,0.002818748771789528,0.1976156473341357
sst2,302,the,0,0.0002545259625830209,0.027956333942711353,0.16348860188668773
sst2,302,wild,0,0.0012392733908838751,0.01921723410487175,0.3129963562720849
sst2,302,thornberrys,0,0.00013911756156470459,0.14869748800992966,0.4073106093484509
sst2,302,movie,0,0.0011452998804320233,0.10042672418057919,0.2671630566197485
sst2,302,is,0,-9.404954981371395e-05,0.005012301728129387,0.28871944487650997
sst2,302,a,0,0.0006477382792535928,0.03913129400461912,1.0215876134214945
sst2,302,jolly,1,0.002086445530262383,0.17274232488125563,1.566502688929122
sst2,302,surprise,1,0.002047036665789081,0.20449127070605755,1.0282980608446255
sst2,302,.,0,8.35844011070154e-07,-0.05161585286259651,0.4748690892904091
sst2,148,feels,0,-0.019334713499085786,-0.05302312092650633,0.4327359649410003
sst2,148,too,1,-0.3658940003913841,-0.1492629452438147,0.3919852022548809
sst2,148,formulaic,1,-0.3571794794549228,-0.17069385907143442,0.4615229884240654
sst2,148,and,0,0.018675032142882717,0.007083972035767753,0.1938433371798623
sst2,148,too,1,-0.3658940003913841,-0.31934262793887075,0.48098800718252593
sst2,148,familiar,1,-0.001836863957426514,-0.023242192216760788,0.11639446909869
sst2,148,to,0,-0.026960054315802156,-0.015099097104060396,0.3942729900286274
sst2,148,produce,0,0.009351544516866926,-0.001730519844234853,0.14536956029684406
sst2,148,the,0,-0.004330332277805657,-0.01125949434466141,0.08825780073435871
sst2,148,transgressive,0,-0.01606994646545022,-0.009152920360975259,0.37034477201592975
sst2,148,thrills,0,0.02078656994825444,0.251425049478712,0.0808108146552701
sst2,148,of,0,-0.0065770036628731,0.002512652066798182,0.11177546422083574
sst2,148,early,0,0.0013046734778689544,0.05082935431346414,0.04795883128696389
sst2,148,underground,0,0.002414586515078602,-0.06456241047635558,0.13675080005136436
sst2,148,work,0,0.0008052593132893004,0.01913608947143075,0.022013845121927497
sst2,148,.,0,0.002244546065861231,-0.0075778769205498975,0.07887106700710811
sst2,835,a,0,0.0009863180942858818,0.012176679261028767,0.14109259506123964
sst2,835,giggle-inducing,1,0.002580234872642259,0.02642769605542223,0.2180402506374962
sst2,835,comedy,0,0.003617011639003225,0.014056535406659047,0.47081619029238536
sst2,835,with,0,7.392738508862329e-05,0.004113099972407023,0.23927840524049793
sst2,835,snappy,1,0.003627567372034951,0.051291549205780024,0.5011870958304924
sst2,835,dialogue,0,0.0006329884859077045,0.010534941032528878,0.0982595878335174
sst2,835,and,0,0.0026095999745040527,-0.002360944863822725,0.4097341509790498
sst2,835,winning,1,0.005124737806101663,0.06265469850558374,0.5789747201052478
sst2,835,performances,0,0.0008265470549016793,0.027496452681306335,0.42293244792269036
sst2,835,by,0,0.0021599495180238014,-0.014892461937334803,0.15483186586836423
sst2,835,an,0,0.00046653354484801625,-0.0007192485448386934,0.4449151510613343
sst2,835,unlikely,0,-0.0013676097177991843,0.006523706536326144,0.2507188970429204
sst2,835,team,0,0.004529897362248953,-0.0044255661260750555,0.22307626203416986
sst2,835,of,0,-0.0006621428994522191,0.02404701016429398,0.2434202714604724
sst2,835,oscar-winners,0,0.004574038181970437,0.13092873607658678,0.3650345547895101
sst2,835,:,0,-0.00010557897432883609,0.03762783824155728,0.007144052665101749
sst2,835,susan,0,0.0028637003552217087,0.03721784024188916,0.1394180695099785
sst2,835,sarandon,0,0.0034329015327681112,0.08641276632746062,0.07439021247501926
sst2,835,and,0,0.0026095999745040527,0.0402232880393664,0.10368355795411785
sst2,835,goldie,0,0.003035236269791828,0.014035082732637724,0.2037112914300126
sst2,835,hawn,0,-0.006613815712909717,-0.08567276659111182,0.033633728777631045
sst2,835,.,0,-0.00105574269644028,-0.012975321461757025,0.001571241301109809
sst2,345,this,0,0.0014075258083676506,0.01558483743833171,0.21337395952140376
sst2,345,tenth,0,0.002904859455416896,0.00632418112622367,0.17101685254849874
sst2,345,feature,0,0.00901289522711255,0.008417067842351066,0.19541977023555474
sst2,345,is,0,0.0009692172256995374,0.008994986375586853,0.08495054768135521
sst2,345,a,0,0.011987079432188913,0.028416157772557602,0.20903654533703708
sst2,345,big,1,0.0048374778684063865,0.02480867372618781,-0.12402040005426694
sst2,345,deal,1,0.018192390245177263,0.020253972688482866,0.49361551880402854
sst2,345,",",0,-0.0194776427166449,0.01478326560722457,0.21671174714609254
sst2,345,indeed,1,0.030761019995562005,0.02458259779959917,0.4191820652648353
sst2,345,--,0,0.013559369915349236,0.024502816423773763,0.3795483314736561
sst2,345,at,0,0.032377248759700245,0.03525488581508398,0.10219130492228665
sst2,345,least,0,-0.04410179211334846,-0.027271508472040296,-0.05298996939167052
sst2,345,the,0,0.005099755120399188,0.01916001713834703,0.08070609652694448
sst2,345,third-best,1,0.04218311167998962,0.0414713048376143,0.3844118121747689
sst2,345,",",0,-0.0194776427166449,-0.0015764670446515084,0.04234844569885792
sst2,345,and,0,0.0038021148347482897,-0.006837110168167523,0.07382612744047855
sst2,345,maybe,0,-0.006187251741077026,-0.04302354892050581,0.3352856815325986
sst2,345,even,0,-0.0010469656219592987,-0.07185483248239118,-0.18943275506734647
sst2,345,a,0,0.011987079432188913,0.003913335136270949,0.07070695322921525
sst2,345,notch,1,0.00407286506159828,-0.0030527761139507803,0.13999203496769155
sst2,345,above,1,0.03243858018091244,0.08986929744215948,0.36001084017524215
sst2,345,the,0,0.005099755120399188,0.011136942875704594,0.07730882089193078
sst2,345,previous,0,0.01982666773612503,0.04690660709249122,0.13990727469005682
sst2,345,runner-up,0,0.012843199312948755,0.1169178093827906,0.2342983696824334
sst2,345,",",0,-0.0194776427166449,-0.003593000095515024,0.06827797831972877
sst2,345,nicholas,0,0.018423356999667767,0.08535856856698436,0.1606010935996949
sst2,345,meyer,0,0.010122143918610126,0.015530052384184229,0.1466023173054063
sst2,345,'s,0,-0.0025208426893470358,0.03670660317653701,0.08991988706306829
sst2,345,star,0,0.009890254460689597,0.00662401365781469,0.07818523419105818
sst2,345,trek,0,-0.00024195222545864563,0.010316842707938381,0.01693941580833029
sst2,345,vi,0,0.005744103435550939,0.009830582893586584,0.0719310914858706
sst2,345,:,0,-0.005403001120895398,0.01920488523984594,0.18755992780518163
sst2,345,the,0,0.005099755120399188,0.044775604509881564,0.0011145926223058086
sst2,345,undiscovered,0,-0.02143283722828431,-0.1378324994861725,0.03221779752734166
sst2,345,country,0,0.01456269178283392,-0.006465049671186577,0.08918293161731541
sst2,345,.,0,0.0006702775402089848,-0.0028479548415080423,0.05199144510475764
sst2,387,director,0,0.0018386754277716834,-0.029748058803306776,0.32482515718495997
sst2,387,andrew,0,0.0013740042857770648,-0.1589904357570049,0.3311044331385391
sst2,387,niccol,0,-0.0016454775012790853,0.014446698332903907,0.2667248611393659
sst2,387,...,0,0.0005565949663302118,-0.0009914756265061442,0.44114995954138114
sst2,387,demonstrates,1,0.0023321415210783027,-0.05301315957558472,0.38230668073917085
sst2,387,a,0,0.0009720630490060463,-0.03256598588495763,0.8536041038773907
sst2,387,wry,1,0.001252876898888425,-0.03725048476235315,0.7509838157901918
sst2,387,understanding,1,0.0023411791051577186,-0.05508605519980847,0.5768349498200147
sst2,387,of,0,-0.0011146614509311658,0.00590045105604986,0.5138870674170493
sst2,387,the,0,0.0005144894670342304,-0.00432054853149566,0.16676488544017742
sst2,387,quirks,0,0.002425161222531104,-0.040353378371492,0.19539824088154029
sst2,387,of,0,-0.0011146614509311658,-0.030795239231035037,0.23854594542759328
sst2,387,fame,0,0.002460519583737861,-0.11313755182406264,0.06190253079854497
sst2,387,.,0,-0.0012883755251500058,0.005287576692656633,0.07079119683016839
sst2,382,a,0,0.008604538454369445,-0.012207097297505243,-1.08157261833946
sst2,382,great,0,0.07888879121734792,-0.21651859533631068,0.00514050740441202
sst2,382,ensemble,0,0.038402819006683575,-0.14546839223658026,-1.6337823415084327
sst2,382,cast,0,0.024036163615773456,0.022375324067979818,0.2730913586913915
sst2,382,ca,0,-0.012173253609579635,0.01788359647980542,-0.3844049423213528
sst2,382,n't,1,-0.8155871267301111,0.5696300482195511,1.3905995157184896
sst2,382,lift,1,-0.3987188678497791,0.22667565268784529,1.2831934855600213
sst2,382,this,0,0.1397240006471526,0.10868489521817537,1.3754997742975306
sst2,382,heartfelt,0,0.016661493840450927,-0.20427306424244307,-0.18830048326971627
sst2,382,enterprise,0,-0.0030564475487336717,0.031123566314818163,0.4314651627650633
sst2,382,out,0,0.0016581271797763153,0.058536248011478165,-0.18421530282260767
sst2,382,of,0,-0.00498739416117626,0.011293513237130052,0.1949422913553425
sst2,382,the,0,0.006224930999570523,-0.014460636394990919,0.03208634979278098
